epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1056.4,1.48209,1.01446,1.31661,0.72002,0.61955,0.67243,0.31463,1.89642,1.4206,1.62699,0.0012862,0.0012862,0.0012862
43,1081.42,1.47953,1.00192,1.31584,0.75348,0.65445,0.72928,0.35503,1.9244,1.40541,1.66452,0.0012562,0.0012562,0.0012562
44,1106.64,1.46717,0.99637,1.31949,0.78347,0.64049,0.7184,0.33204,1.91084,1.43696,1.61486,0.00122596,0.00122596,0.00122596
45,1130.76,1.45612,0.97793,1.31046,0.7684,0.64851,0.72468,0.34326,1.87633,1.43626,1.59385,0.00119551,0.00119551,0.00119551
46,1155.01,1.45757,0.98862,1.31158,0.72318,0.65271,0.71402,0.34409,1.96191,1.434,1.65825,0.00116487,0.00116487,0.00116487
47,1180.28,1.42907,0.95747,1.29759,0.74234,0.66371,0.72544,0.35341,1.91645,1.2935,1.64766,0.00113408,0.00113408,0.00113408
48,1205.44,1.43048,0.95361,1.29706,0.78666,0.63351,0.72423,0.35103,1.89421,1.36802,1.63161,0.00110317,0.00110317,0.00110317
49,1232.6,1.43183,0.95676,1.29294,0.75462,0.65478,0.72684,0.3364,1.95954,1.4554,1.69082,0.00107216,0.00107216,0.00107216
50,1257.22,1.42409,0.95515,1.30294,0.70564,0.69634,0.71814,0.33761,1.90429,1.27497,1.64246,0.0010411,0.0010411,0.0010411
51,1283.59,1.41643,0.94707,1.28337,0.76126,0.61082,0.6984,0.32446,1.96453,1.50796,1.67174,0.00101,0.00101,0.00101
52,1313.34,1.40568,0.92263,1.28195,0.79658,0.64239,0.72209,0.34669,1.91826,1.38103,1.63298,0.000978903,0.000978903,0.000978903
53,1339.94,1.39224,0.90964,1.26905,0.76493,0.66492,0.73355,0.34574,1.92105,1.23951,1.64096,0.000947837,0.000947837,0.000947837
54,1365.47,1.39665,0.92098,1.27757,0.7793,0.67169,0.73258,0.35621,1.8751,1.34339,1.58451,0.000916833,0.000916833,0.000916833
55,1391.45,1.38852,0.89729,1.26555,0.76269,0.64921,0.72313,0.35552,1.90292,1.32262,1.65267,0.00088592,0.00088592,0.00088592
56,1417,1.38063,0.89873,1.26412,0.75362,0.70465,0.73604,0.35469,1.93783,1.22135,1.66398,0.00085513,0.00085513,0.00085513
57,1439.59,1.35879,0.87837,1.25104,0.76455,0.69284,0.74703,0.35242,1.92442,1.39541,1.65963,0.000824492,0.000824492,0.000824492
58,1462.88,1.37346,0.86378,1.25915,0.7556,0.67985,0.73165,0.34195,2.02397,1.30338,1.68721,0.000794038,0.000794038,0.000794038
59,1485.43,1.35859,0.87748,1.24916,0.73776,0.69808,0.7429,0.35916,1.91345,1.32002,1.65194,0.000763797,0.000763797,0.000763797
60,1507.36,1.36297,0.86236,1.2439,0.74661,0.66667,0.71556,0.33542,1.98911,1.42788,1.68914,0.000733799,0.000733799,0.000733799
61,1530.98,1.33697,0.83902,1.23483,0.77155,0.67365,0.71538,0.34913,1.96141,1.29817,1.66504,0.000704073,0.000704073,0.000704073
62,1557.34,1.32325,0.84641,1.23533,0.78395,0.64049,0.70813,0.33902,1.92208,1.36076,1.63769,0.000674649,0.000674649,0.000674649
63,1585.98,1.32617,0.83291,1.23747,0.76222,0.68811,0.73016,0.34442,2.02356,1.43473,1.6847,0.000645557,0.000645557,0.000645557
64,1616.1,1.31804,0.83462,1.22869,0.78076,0.66841,0.73736,0.35398,1.94855,1.29315,1.63556,0.000616824,0.000616824,0.000616824
65,1645.05,1.31119,0.83453,1.22506,0.77907,0.67539,0.73805,0.36112,1.96501,1.29761,1.67715,0.000588479,0.000588479,0.000588479
66,1672.09,1.31023,0.82163,1.22973,0.80084,0.69473,0.74607,0.34627,1.98822,1.24641,1.74459,0.000560549,0.000560549,0.000560549
67,1700.13,1.29051,0.80618,1.21438,0.78235,0.68586,0.74396,0.35304,1.97152,1.34979,1.70885,0.000533064,0.000533064,0.000533064
68,1726.93,1.29015,0.8066,1.21719,0.7902,0.68586,0.74463,0.35632,1.91595,1.37106,1.63311,0.000506049,0.000506049,0.000506049
